Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [El Guante],Precio [El Guante],En inventario [El Guante],Existencias bajas [El Guante]
fuenton-sina-oval-c/asa-16-l,10139,FUENTON SINA OVAL C/ASA 16 L,PLASTICOS,,N,,,,,,,2686.00,,,,Y,Y,5500.00,3.000,0.000
gatillo-pulv-plastico,10154,GATILLO PULV PLASTICO,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,529.00,,,,Y,Y,1000.00,8.000,0.000
graffito-suave-recto,10080,GRAFFITO SUAVE RECTO,ESCOBAS,,N,,,,,,,1600.00,,,,N,Y,3200.00,,
guante-afelp-patito-clasico,10039,GUANTE AFELP PATITO CLASICO,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1741.00,,,,Y,Y,3300.00,15.000,0.000
guante-descartable-latex/nitrilo,10040,GUANTE DESCARTABLE LATEX/NITRILO,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,98.16,,,,Y,Y,600.00,200.000,0.000
guante-moteado-algodon,10041,GUANTE MOTEADO ALGODON,,,N,,,,,,,778.00,,,,Y,Y,2500.00,30.000,0.000
hilo-algodon,10205,HILO ALGODON,VARIOS,,N,,,,,,,285.00,,,,Y,Y,600.00,8.000,0.000
hormiguicida-geltek-x-40-g,10165,HORMIGUICIDA GELTEK X 40 G,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,7547.00,,,,Y,Y,13200.00,4.000,0.000
innova,10052,INNOVA,ESCOBAS,,N,,,,,,,1869.00,,,,Y,Y,3700.00,4.000,0.000
jabon-antibac-primordial,10028,JABON ANTIBAC PRIMORDIAL,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,484.00,,,,Y,Y,1300.00,3.000,0.000
jabon-glicerina-st-tropez,10027,JABON GLICERINA ST TROPEZ,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1514.00,,,,Y,Y,2500.00,0.000,0.000
jabon-liquido-ropa,10000,JABON LIQUIDO ROPA,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,611.80,,,,Y,Y,1000.00,60.000,30.000
jabon-manos-antibacterial(lyso),10008,JABON MANOS ANTIBACTERIAL(LYSO),LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,773.60,,,,Y,Y,1500.00,50.000,10.000
jabon-manos-tradicional,10009,JABON MANOS TRADICIONAL,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,530.45,,,,Y,Y,1500.00,50.000,10.000
